timestamp,model,retrieval_hit,success,similarity_score,accuracy,latency_ms
2026-03-18T18:11:19.449669+00:00,VariableExtractor,1,0,0.0,33.33333333333333,0.38704194594174623
2026-03-18T18:11:19.449961+00:00,VariableExtractor,1,1,0.776020258779892,40.0,0.27799990493804216
2026-03-18T18:11:19.450209+00:00,VariableExtractor,1,1,0.19543076673155668,25.0,0.2440840471535921
2026-03-18T18:11:19.450450+00:00,VariableExtractor,1,1,0.2842784537001748,28.57142857142857,0.2377079799771309
2026-03-18T18:11:19.450685+00:00,VariableExtractor,1,0,0.0,25.0,0.2322500804439187
2026-03-18T18:11:19.450911+00:00,VariableExtractor,1,0,0.0,33.33333333333333,0.224666902795434
2026-03-18T18:11:19.451139+00:00,VariableExtractor,1,1,0.42351614482931127,40.0,0.22537494078278542
2026-03-18T18:11:19.451378+00:00,VariableExtractor,1,1,0.22370167891974785,25.0,0.23683300241827965
2026-03-18T18:11:19.451607+00:00,VariableExtractor,1,1,0.19595641520295204,28.57142857142857,0.22712501231580973
2026-03-18T18:11:19.451834+00:00,VariableExtractor,1,1,0.19595641520295204,50.0,0.22495794110000134
2026-03-18T18:11:19.452066+00:00,VariableExtractor,1,1,0.19595641520295204,33.33333333333333,0.22966694086790085
2026-03-18T18:11:19.452476+00:00,VariableExtractor,1,1,0.3415123588099942,40.0,0.4065410466864705
2026-03-18T18:11:19.452738+00:00,VariableExtractor,1,0,0.1267207676077246,25.0,0.2573329256847501
2026-03-18T18:11:19.452984+00:00,VariableExtractor,1,1,0.552976372679637,28.57142857142857,0.24233304429799318
2026-03-18T18:11:19.453223+00:00,VariableExtractor,1,0,0.14066526851317906,50.0,0.23708294611424208
2026-03-18T18:11:19.453457+00:00,VariableExtractor,1,1,0.41141810423183284,33.33333333333333,0.23116706870496273
2026-03-18T18:11:19.453689+00:00,VariableExtractor,1,1,0.2823440965528742,40.0,0.22983306553214788
2026-03-18T18:11:19.453930+00:00,VariableExtractor,1,1,0.4070507399802765,25.0,0.23812497965991497
2026-03-18T18:11:19.454162+00:00,VariableExtractor,1,1,0.36865091511975795,28.57142857142857,0.23075006902217865
2026-03-18T18:11:19.454393+00:00,VariableExtractor,1,1,0.16894353570751533,50.0,0.22854201961308718
2026-03-18T18:11:19.454624+00:00,VariableExtractor,1,1,0.34013841651177656,33.33333333333333,0.2292089629918337
2026-03-18T18:11:19.454850+00:00,VariableExtractor,1,1,0.2576591373069197,40.0,0.2233750419691205
2026-03-18T18:11:19.455077+00:00,VariableExtractor,1,1,0.34013841651177656,25.0,0.2247499069198966
2026-03-18T18:11:19.455302+00:00,VariableExtractor,1,1,0.33788707141503066,28.57142857142857,0.2234580460935831
2026-03-18T18:11:19.455538+00:00,VariableExtractor,1,1,0.16894353570751533,50.0,0.2335000317543745
2026-03-18T18:11:19.455775+00:00,VariableExtractor,1,1,0.2671049821072506,33.33333333333333,0.23454101756215096
2026-03-18T18:11:19.456007+00:00,VariableExtractor,1,0,0.0,20.0,0.22958300542086363
2026-03-18T18:11:19.456234+00:00,VariableExtractor,1,1,0.30143791534680564,25.0,0.22495794110000134
2026-03-18T18:11:19.456479+00:00,VariableExtractor,1,1,0.18954638832872978,28.57142857142857,0.24283304810523987
2026-03-18T18:11:19.456709+00:00,VariableExtractor,1,0,0.0,25.0,0.22724992595613003
2026-03-18T18:11:19.456935+00:00,VariableExtractor,1,0,0.1335524910536253,33.33333333333333,0.22429192904382944
2026-03-18T18:11:19.457161+00:00,VariableExtractor,1,1,0.20352536999013826,40.0,0.22379204165190458
2026-03-18T18:11:19.457402+00:00,VariableExtractor,1,0,0.1335524910536253,25.0,0.23925001733005047
2026-03-18T18:11:19.457630+00:00,VariableExtractor,1,0,0.0,14.285714285714285,0.22537505719810724
2026-03-18T18:11:19.457853+00:00,VariableExtractor,1,1,0.20570905211591642,50.0,0.220458023250103
2026-03-18T18:11:19.458076+00:00,VariableExtractor,1,1,0.2283455158751189,33.33333333333333,0.22166594862937927
2026-03-18T18:11:19.458300+00:00,VariableExtractor,1,1,0.18432545755987897,40.0,0.22108398843556643
2026-03-18T18:11:19.458521+00:00,VariableExtractor,1,1,0.20352536999013826,25.0,0.21950004156678915
2026-03-18T18:11:19.458743+00:00,VariableExtractor,1,1,0.20570905211591642,28.57142857142857,0.22020807955414057
2026-03-18T18:11:19.458964+00:00,VariableExtractor,1,1,0.20352536999013826,50.0,0.21916604600846767
2026-03-18T18:11:22.546335+00:00,TableGenerator,1,1,,100.0,39.898541988804936
2026-03-18T18:11:22.571188+00:00,TableGenerator,1,1,,100.0,24.835457908920944
2026-03-18T18:11:22.596192+00:00,TableGenerator,1,1,,100.0,24.991582962684333
2026-03-18T18:11:22.618255+00:00,TableGenerator,1,1,,100.0,22.052458953112364
2026-03-18T18:11:22.639850+00:00,TableGenerator,1,1,,100.0,21.580415894277394
2026-03-18T18:11:22.661918+00:00,TableGenerator,1,1,,100.0,22.053458029404283
2026-03-18T18:11:22.683656+00:00,TableGenerator,1,1,,100.0,21.72779105603695
2026-03-18T18:11:22.695468+00:00,TableGenerator,1,1,,100.0,11.799875064752996
2026-03-18T18:11:22.706622+00:00,TableGenerator,1,1,,100.0,11.142458068206906
2026-03-18T18:11:22.716824+00:00,TableGenerator,1,1,,100.0,10.19425003323704
2026-03-18T18:11:22.726281+00:00,TableGenerator,1,1,,100.0,9.451291058212519
2026-03-18T18:11:22.736124+00:00,TableGenerator,1,1,,100.0,9.837208082899451
2026-03-18T18:11:22.746658+00:00,TableGenerator,1,1,,100.0,10.527333011850715
2026-03-18T18:11:22.769898+00:00,TableGenerator,1,1,,100.0,23.232916020788252
2026-03-18T18:11:22.791021+00:00,TableGenerator,1,1,,100.0,21.11083408817649
2026-03-18T18:11:22.801080+00:00,TableGenerator,1,1,,100.0,10.048915981315076
2026-03-18T18:11:22.823101+00:00,TableGenerator,1,1,,100.0,22.009833017364144
2026-03-18T18:11:22.833349+00:00,TableGenerator,1,1,,100.0,10.236708098091185
2026-03-18T18:11:22.844405+00:00,TableGenerator,1,0,,0.0,11.043792008422315
2026-03-18T18:11:22.854251+00:00,TableGenerator,1,0,,0.0,9.838290978223085
2026-03-18T18:11:22.863966+00:00,TableGenerator,1,1,,100.0,9.705666918307543
2026-03-18T18:11:22.873583+00:00,TableGenerator,1,1,,100.0,9.608500055037439
2026-03-18T18:11:22.883500+00:00,TableGenerator,1,1,,100.0,9.911290952004492
2026-03-18T18:11:22.905835+00:00,TableGenerator,1,1,,100.0,22.326583042740822
2026-03-18T18:11:22.915704+00:00,TableGenerator,1,0,,0.0,9.857584023848176
2026-03-18T18:11:22.937088+00:00,TableGenerator,1,1,,100.0,21.374915959313512
2026-03-18T18:11:22.948005+00:00,TableGenerator,1,1,,100.0,10.907916934229434
2026-03-18T18:11:22.957744+00:00,TableGenerator,1,1,,100.0,9.730249992571771
2026-03-18T18:11:22.966948+00:00,TableGenerator,1,1,,100.0,9.196250000968575
2026-03-18T18:11:22.976644+00:00,TableGenerator,1,1,,100.0,9.690291015431285
2026-03-18T18:11:22.986478+00:00,TableGenerator,1,1,,100.0,9.823375032283366
2026-03-18T18:11:22.997243+00:00,TableGenerator,1,0,,0.0,10.758541990071535
2026-03-18T18:11:23.006826+00:00,TableGenerator,1,1,,100.0,9.571750066243112
2026-03-18T18:11:23.016178+00:00,TableGenerator,1,1,,100.0,9.346958948299289
2026-03-18T18:11:23.025679+00:00,TableGenerator,1,1,,100.0,9.495000005699694
2026-03-18T18:11:23.048150+00:00,TableGenerator,1,1,,100.0,22.463208995759487
2026-03-18T18:11:23.058994+00:00,TableGenerator,1,1,,100.0,10.83429204300046
